"Course Code","Course Instructor","Registered Students","Exam slot","Data"
"EE 101","I10010 - Ashwin Tulapurkar","","","14B-LT 103-17:30:00-18:55:0014B-LT 106-17:30:00-18:55:0014B-LT 304-17:30:00-18:55:00"
"EE 101","I02021 - Siddhartha Duttagupta","","","14B-LT 004-17:30:00-18:55:0014B-LT 005-17:30:00-18:55:0014B-LT 005-17:30:00-18:55:00"
"EE 101","I95012 - Vivek Agarwal","","","14B-LT 001-17:30:00-18:55:0014B-LT 001-17:30:00-18:55:0014B-LT 002-17:30:00-18:55:0014B-LT 002-17:30:00-18:55:0014B-LT 003-17:30:00-18:55:0014B-LT 003-17:30:00-18:55:0014B-LT 001-17:30:00-18:55:0014B-LT 001-17:30:00-18:55:0014B-LT 002-17:30:00-18:55:0014B-LT 002-17:30:00-18:55:0014B-LT 003-17:30:00-18:55:0014B-LT 003-17:30:00-18:55:00"
"EE 101","I12003 - Apurba Laha","","","14B-LT 305-17:30:00-18:55:0014B-LT 306-17:30:00-18:55:0014B-LT 205-17:30:00-18:55:0014B-LT 206-17:30:00-18:55:00"
"EE 101","Agarwal Vivek","152","4","4A-LH 102-11:35:00-12:30:004B-LH 102-08:30:00-09:25:004C-LH 102-09:30:00-10:25:00"
"EE 101","S. Duttagupta","127","4","4A-LH 301-11:35:00-12:30:004B-LH 301-08:30:00-09:25:004C-LH 301-09:30:00-10:25:00"
"EE 101","Ashwin Tulapurkar","117","4","4A-SMA113-11:35:00-12:30:004B-SMA113-08:30:00-09:25:004C-SMA113-09:30:00-10:25:00"
"EE 101","Apurba Laha","134","4","4A-LH 101-11:35:00-12:30:004B-LH 101-08:30:00-09:25:004C-LH 101-09:30:00-10:25:00"
"EE 101 APURBA LAHA","","","",""
"EE 101, PROF. APURBA LAHA","","","",""
"EE 111","Chatterjee Kishore","149","6","6B-LH 102-11:05:00-12:30:006A-LH 102-11:05:00-12:30:00"
"EE 204","M.Shojaei Baghini","55","5","5B-GL-106-09:30:00-10:55:005A-GL-106-09:30:00-10:55:00"
"EE 207","Pradeep R. Nair","77","3","3A-LH 301-10:35:00-11:30:003C-LH 301-08:30:00-09:25:003B-LH 301-11:35:00-12:30:00"
"EE 207","Souvik Mahapatra","66","3","3B-LH 102-11:35:00-12:30:003C-LH 102-08:30:00-09:25:003A-LH 102-10:35:00-11:30:00"
"EE 210","Chaudhuri Subhasis","60","5","5B-GL-G08-09:30:00-10:55:005A-GL-G08-09:30:00-10:55:00"
"EE 221","J.John","62","5","5A-GL-107-09:30:00-10:55:005B-GL-107-09:30:00-10:55:00"
"EE 223","P.Chaporkar","150","4","4C-LC 002-09:30:00-10:25:004B-LC 002-08:30:00-09:25:004A-LC 002-11:35:00-12:30:00"
"EE 225","Manoj Gopalkrishnan","143","10","X2-LH 101-15:00:00-16:00:00X1-LH 101-14:00:00-15:00:0010B-LH 101-14:00:00-15:25:00"
"EE 227","Dipankar Saha","39","11","11B-GL-105-15:30:00-16:55:0011A-GL-105-15:30:00-16:55:00"
"EE 236","K L. Narasimhan","140","",""
"EE 236","Siddharth Tallur","140","",""
"EE 301","Swaroop Ganguly","156","6","6A-LA 302-11:05:00-12:30:006B-LA 302-11:05:00-12:30:00"
"EE 308","Merchant S N","74","1","1C-GL-402-10:35:00-11:30:001A-GL-402-08:30:00-09:25:001B-GL-402-09:30:00-10:25:00"
"EE 308","S.Gupta","69","1","1A-GL-G12-08:30:00-09:25:001C-GL-G12-10:35:00-11:30:001B-GL-G12-09:30:00-10:25:00"
"EE 309","Virendra Singh","139","2","2B-LH 102-10:35:00-11:30:002A-LH 102-09:30:00-10:25:002C-LH 102-11:35:00-12:30:00"
"EE 309","I11128 - Virendra Singh","","","XD-LH 102-19:00:00-20:25:00"
"EE 325","Gaurav S. Kasbekar","58","4","4A-GL-G08-11:35:00-12:30:004B-GL-G08-08:30:00-09:25:004C-GL-G08-09:30:00-10:25:00"
"EE 325","Animesh Kumar","63","4","4C-GL-G12-09:30:00-10:25:004A-GL-G12-11:35:00-12:30:004B-GL-G12-08:30:00-09:25:00"
"EE 337","Patkar Sachin","142","L4","L4--14:00:00-16:55:00"
"EE 340","Jayakrishnan Nair","136","",""
"EE 340","Sharayu Moharir","136","",""
"EE 459","J.John","4","L",""
"EE 601","Jayakrishnan Nair","43","14","14A-GL-107-17:30:00-18:55:0014B-GL-107-17:30:00-18:55:00"
"EE 603","Kumar Appaiah","71","5","5B-GL-G12-09:30:00-10:55:005A-GL-G12-09:30:00-10:55:00"
"EE 605","B.K.Dey","27","3","3C-GL-106-08:30:00-09:25:003B-GL-106-11:35:00-12:30:003A-GL-106-10:35:00-11:30:00"
"EE 606","Shevgaonkar R.K.","23","11","11A-LT 104-15:30:00-16:55:0011B-LT 104-15:30:00-16:55:00"
"EE 609","Kumar Girish","53","12","12B-GL-G12-17:30:00-18:55:0012A-GL-G12-17:30:00-18:55:00"
"EE 610","Amit Sethi","42","2","2B-LT 303-10:35:00-11:30:002A-LT 303-09:30:00-10:25:002C-LT 303-11:35:00-12:30:00"
"EE 611","J.Mukherjee","51","14","14A-GL-105-17:30:00-18:55:0014B-GL-105-17:30:00-18:55:00"
"EE 615","Debraj Chakraborty","13","LX","LX--14:00:00-16:55:00"
"EE 616","Pandey P.C.","42","12","12A-GL-107-17:30:00-18:55:0012B-GL-107-17:30:00-18:55:00"
"EE 617","Siddharth Tallur","65","2","2B-GL-G08-10:35:00-11:30:002C-GL-G08-11:35:00-12:30:002A-GL-G08-09:30:00-10:25:00"
"EE 618","Rajesh H. Zele","96","14","14A-LC 201-17:30:00-18:55:0014B-LC 201-17:30:00-18:55:00"
"EE 635","Pillai Harish","52","12","12B-GL-G08-17:30:00-18:55:0012A-GL-G08-17:30:00-18:55:00"
"EE 638","Debraj Chakraborty","26","4","4A-LT 103-11:35:00-12:30:004B-LT 103-08:30:00-09:25:004C-LT 103-09:30:00-10:25:00"
"EE 640","M Belur","52","1","1B-GL-106-09:30:00-10:25:001C-GL-106-10:35:00-11:30:001A-GL-106-08:30:00-09:25:00"
"EE 653","Anshuman Shukla","31","14","14B-GL-106-17:30:00-18:55:0014A-GL-106-17:30:00-18:55:00"
"EE 655","Soman S.A.","29","6","6B-GL-107-11:05:00-12:30:006A-GL-107-11:05:00-12:30:00"
"EE 657","Chatterjee Kishore","34","7","12B-GL-106-17:30:00-18:55:007B-GL-106-08:30:00-09:25:007A-GL-106-08:30:00-09:25:00"
"EE 659","Vivek S. Borkar","21","12","12A-LC 302-17:30:00-18:55:0012B-LC 302-17:30:00-18:55:00"
"EE 669","Anil K.G.","83","1","1B-GL-G08-09:30:00-10:25:001A-GL-G08-08:30:00-09:25:001C-GL-G08-10:35:00-11:30:00"
"EE 671","Sharma Dinesh","126","3","3B-GL-107-11:35:00-12:30:003A-GL-107-10:35:00-11:30:003C-GL-107-08:30:00-09:25:00"
"EE 673","Himanshu J. Bahirat","25","LX","LX--14:00:00-16:55:00"
"EE 675","M. Chandorkar","38","1","1B-LT 206-09:30:00-10:25:001A-LT 206-08:30:00-09:25:001C-LT 206-10:35:00-11:30:00"
"EE 677","Patkar Sachin","140","13","13B-LC 001-19:00:00-20:25:0013A-LC 001-19:00:00-20:25:00"
"EE 679","Preeti Rao","39","6","6A-GL-G08-11:05:00-12:30:006B-GL-G08-11:05:00-12:30:00"
"EE 687","Himanshu J. Bahirat","0","3","3A-GL-105-10:35:00-11:30:003C-GL-105-08:30:00-09:25:003B-GL-105-11:35:00-12:30:00"
"EE 703","Sibi Raj B. Pillai","23","1","1A-GL-107-08:30:00-09:25:001C-GL-107-10:35:00-11:30:001B-GL-107-09:30:00-10:25:00"
"EE 714","M Belur","9","3","3C-LT 201-08:30:00-09:25:003A-LT 201-10:35:00-11:30:003B-LT 201-11:35:00-12:30:00"
"EE 723","Bhaskaran Muralidharan","37","9","9A-GL-107-15:30:00-16:55:009B-GL-107-15:30:00-16:55:00"
"EE 732","Narayanan H.","13","8","8A-GL-105-14:00:00-15:25:008B-GL-105-14:00:00-15:25:00"
"EE 733","Saurabh Lodha","59","6","6B-GL-G12-11:05:00-12:30:006A-GL-G12-11:05:00-12:30:00"
"EE 735","Souvik Mahapatra","75","X","XC-GL-107-17:30:00-18:55:00"
"EE 746","Udayan Ganguli","36","12","12A-LT 205-17:30:00-18:55:0012B-LT 205-17:30:00-18:55:00"
"EE 747","Kulkarni A.M.","9","6","6A-GL-105-11:05:00-12:30:006B-GL-105-11:05:00-12:30:00"
"EE 748","Virendra Singh","17","6","6A-GL-106-11:05:00-12:30:006B-GL-106-11:05:00-12:30:00"
"EE 750","V Raj Babu","24","15","15B-GL-106-19:00:00-20:25:0015A-GL-106-19:00:00-20:25:00"
"EE 751","Kasturi Saha","15","5","5B-GL-105-09:30:00-10:55:005A-GL-105-09:30:00-10:55:00"
"EE 756","Nikhil Karamchandani","15","10","10B-GL-105-14:00:00-15:25:0010A-GL-105-14:00:00-15:25:00"
"EE 759","Debasattam Pal","32","15","15A-GL-105-19:00:00-20:25:0015B-GL-105-19:00:00-20:25:00"
"EE 761","Sharayu Moharir","31","9","9A-GL-105-15:30:00-16:55:009B-GL-105-15:30:00-16:55:00"
"EE 768","Anupama Kowli","16","8","8A-GL-G08-14:00:00-15:25:008B-GL-G08-14:00:00-15:25:00"
"EE 779","V Raj Babu","36","2","2C-GL-107-11:35:00-12:30:002B-GL-107-10:35:00-11:30:002A-GL-107-09:30:00-10:25:00"
"EE 791","Fernandes B.G.","32","2","2B-GL-105-10:35:00-11:30:002C-GL-105-11:35:00-12:30:002A-GL-105-09:30:00-10:25:00"
"EE 792","Narayanan H.","24","4","4C-GL-106-09:30:00-10:25:004A-GL-106-11:35:00-12:30:004B-GL-106-08:30:00-09:25:00"
"EE 792","Kulkarni S V","40","4","4B-GL-107-08:30:00-09:25:004C-GL-107-09:30:00-10:25:004A-GL-107-11:35:00-12:30:00"
"EE 792","Bhaskaran Muralidharan","42","4","4A-GL-308-11:35:00-12:30:004C-GL-308-09:30:00-10:25:004B-GL-308-08:30:00-09:25:00"
"EE 792","Narendra Shiradkar","42","4","4A-GL-105-11:35:00-12:30:004C-GL-105-09:30:00-10:25:004B-GL-105-08:30:00-09:25:00"
"EN 203","Manaswita Bose","36","4","4A-LT 201-11:35:00-12:30:004B-LT 201-08:30:00-09:25:004C-LT 201-09:30:00-10:25:00"
"EN 205","Zakir H. Rather","28","L","L2-CS-G07-14:00:00-16:55:00"
"EN 207","Pratibha  Sharma","29","9","9A-LT 101-15:30:00-16:55:009B-LT 101-15:30:00-16:55:00"
"EN 209","Rajesh Gupta","31","6","6B-LT 101-11:05:00-12:30:006A-LT 101-11:05:00-12:30:00"
"EN 209","Zakir H. Rather","31","6","6B-LT 101-11:05:00-12:30:006A-LT 101-11:05:00-12:30:00"
"EN 209","I15319 - Zakir H. Rather","","","7A-LT 101-08:30:00-09:25:00"
"EN 211","Kedare S B","29","8","8B-LT 101-14:00:00-15:25:008A-LT 101-14:00:00-15:25:00"
"EN 301","Sagar Mitra","69","5","5A-LT 101-09:30:00-10:55:005B-LT 101-09:30:00-10:55:00"
"EN 309","Lalit Kumar","28","L2","L2--14:00:00-16:55:00"
"EN 313","V.S.S. Pavan Kumar Hari","30","14","14A-LT 101-17:30:00-18:55:0014B-LT 101-17:30:00-18:55:00"
"EN 315","Dayadeep S. Monder","30","12","12A-LT 101-17:30:00-18:55:0012B-LT 101-17:30:00-18:55:00"
"EN 317","I12071 - Sankara Sarma V. Tatiparti","","","9A-LT 104-15:30:00-16:55:00"
"EN 317","Sankara Sarma V. Tatiparti","28","1","1A-LT 101-08:30:00-09:25:001B-LT 101-09:30:00-10:25:001C-LT 101-10:35:00-11:30:00"
"EN 319","V.S.S. Pavan Kumar Hari","24","L4","L4--14:00:00-16:55:00"
"EN 319","D. Suryanarayana","24","L4","L4--14:00:00-16:55:00"
"EN 401","Banerjee Rangan","33","2","2A-LC 101-09:30:00-10:25:002C-LC 101-11:35:00-12:30:002B-LC 101-10:35:00-11:30:00"
"EN 405","C.S. Solanki","31","L4","L4--14:00:00-16:55:00"
"EN 407","M.Neergat","12","14","14B-LT 104-17:30:00-18:55:0014A-LT 104-17:30:00-18:55:00"
"EN 409","Venkatasailanathan Ramadesigan","12","2","2C-LT 101-11:35:00-12:30:002B-LT 101-10:35:00-11:30:002A-LT 101-09:30:00-10:25:00"
"EN 411","K.R. Balasubramaniam","14","15","15B-LT 101-19:00:00-20:25:0015A-LT 101-19:00:00-20:25:00"
"EN 413","Shaibal Sarkar","12","13","13B-LT 101-19:00:00-20:25:0013A-LT 101-19:00:00-20:25:00"
"EN 415","Pratibha  Sharma","12","L2","L2--14:00:00-16:55:00"
"EN 417","Ashutosh  Mahajan","12","3","3A-LT 101-10:35:00-11:30:003C-LT 101-08:30:00-09:25:003B-LT 101-11:35:00-12:30:00"
"EN 417","Venkatasailanathan Ramadesigan","12","3","3C-LT 101-08:30:00-09:25:003A-LT 101-10:35:00-11:30:003B-LT 101-11:35:00-12:30:00"
"EN 601","Nayak J.K.","65","9","9B-LC 102-15:30:00-16:55:009A-LC 102-15:30:00-16:55:00"
"EN 602","Zakir H. Rather","29","1","1C-LT 104-10:35:00-11:30:001A-LT 104-08:30:00-09:25:001B-LT 104-09:30:00-10:25:00"
"EN 602","Anish Modi","29","1","1A-LT 104-08:30:00-09:25:001B-LT 104-09:30:00-10:25:001C-LT 104-10:35:00-11:30:00"
"EN 606","Bandyopadhyay Santanu","47","6","6A-LC 001-11:05:00-12:30:006B-LC 001-11:05:00-12:30:00"
"EN 609","Seethamraju Srinivas","30","L4","L4--14:00:00-16:55:00"
"EN 613","Suneet Singh","28","13","13A-SMA210-19:00:00-20:25:0013B-SMA210-19:00:00-20:25:00"
"EN 618","Banerjee Rangan","50","2","2C-LC 101-11:35:00-12:30:002B-LC 101-10:35:00-11:30:002A-LC 101-09:30:00-10:25:00"
"EN 624","P.C.Ghosh","21","12","12B-LT 004-17:30:00-18:55:0012A-LT 004-17:30:00-18:55:00"
"EN 632","Seethamraju Srinivas","33","3","3B-SMAG11-11:35:00-12:30:003C-SMAG11-08:30:00-09:25:003A-SMAG11-10:35:00-11:30:00"
"EN 637","Sankara Sarma V. Tatiparti","21","8","8A-LT 202-14:00:00-15:25:008B-LT 202-14:00:00-15:25:00"
"EN 649","Lalit Kumar","11","8","8A-SMA113-14:00:00-15:25:008B-SMA113-14:00:00-15:25:00"
"EN 655","Sagar Mitra","13","L4","L4--14:00:00-16:55:00"
"EN 703","Rajesh Gupta","7","15","15B-LT 006-19:00:00-20:25:0015A-LT 006-19:00:00-20:25:00"
"EN 792","Anish Modi","63","3","3C-SMA210-08:30:00-09:25:003A-SMA210-10:35:00-11:30:003B-SMA210-11:35:00-12:30:00"
"ENGLISH CLASSES","","","",""
"ENT201","Rajen Jaswa","38","13","13B-LC 101-19:00:00-20:25:0013A-LC 101-19:00:00-20:25:00"
"ENT201","A. T. Kusre","38","13","13B-LC 101-19:00:00-20:25:0013A-LC 101-19:00:00-20:25:00"
"ENT201","Rajen Jaswa","45","13","13A-LC 101-19:00:00-20:25:0013B-LC 101-19:00:00-20:25:00"
"ENT201","A. T. Kusre","45","13","13A-LC 101-19:00:00-20:25:0013B-LC 101-19:00:00-20:25:00"
"ENT204","A. T. Kusre","3","X",""
"ENT204","B.K.Chakravarthy","5","X",""
"ENT204","A. T. Kusre","5","X",""
"ENT204","M.D.Atrey","5","X",""
"ENT204","B.K.Chakravarthy","3","X",""
"ENT204","P Kumaresan","5","X",""
"ENT204","P Kumaresan","3","X",""
"ENT204","M.D.Atrey","3","X",""
"ENT206","M.D.Atrey","0","X",""
"ENT206","A. T. Kusre","0","X",""
"ENT206","P Kumaresan","0","X",""
"ENT206","B.K.Chakravarthy","0","X",""
"ENT207","A. T. Kusre","17","12","12A-LC 101-17:30:00-18:55:0012B-LC 101-17:30:00-18:55:00"
"ENT207","A. T. Kusre","16","12","12B-LC 101-17:30:00-18:55:0012A-LC 101-17:30:00-18:55:00"
"ENT207","Devdip Purkayastha","16","12","12B-LC 101-17:30:00-18:55:0012A-LC 101-17:30:00-18:55:00"
"ENT207","Devdip Purkayastha","17","12","12A-LC 101-17:30:00-18:55:0012B-LC 101-17:30:00-18:55:00"
"ENT209","A. T. Kusre","11","12","12A-LC 101-17:30:00-18:55:0012B-LC 101-17:30:00-18:55:00"
"ENT209","Vinay Dabholkar","8","12","12B-LC 101-17:30:00-18:55:0012A-LC 101-17:30:00-18:55:00"
"ENT209","Vinay Dabholkar","11","12","12A-LC 101-17:30:00-18:55:0012B-LC 101-17:30:00-18:55:00"
"ENT209","A. T. Kusre","8","12","12B-LC 101-17:30:00-18:55:0012A-LC 101-17:30:00-18:55:00"
"ENT603","A. T. Kusre","27","13","13A-LC 101-19:00:00-20:25:0013B-LC 101-19:00:00-20:25:00"
"ENT603","Rajen Jaswa","27","13","13A-LC 101-19:00:00-20:25:0013B-LC 101-19:00:00-20:25:00"
"ENT605","A. T. Kusre","6","12","12A-LC 101-17:30:00-18:55:0012B-LC 101-17:30:00-18:55:00"
"ENT605","Devdip Purkayastha","6","12","12A-LC 101-17:30:00-18:55:0012B-LC 101-17:30:00-18:55:00"
"ENT606","A. T. Kusre","8","X",""
"ENT606","B.K.Chakravarthy","8","X",""
"ENT606","M.D.Atrey","8","X",""
"ENT606","P Kumaresan","8","X",""
"ENT607","A. T. Kusre","4","12","12A-LC 101-17:30:00-18:55:0012B-LC 101-17:30:00-18:55:00"
"ENT607","Vinay Dabholkar","4","12","12A-LC 101-17:30:00-18:55:0012B-LC 101-17:30:00-18:55:00"
"ENT608","A. T. Kusre","0","X",""
"ENT608","B.K.Chakravarthy","0","X",""
"ENT608","M.D.Atrey","0","X",""
"ENT608","P Kumaresan","0","X",""
"EP 207","Raghunath Chelakkot","56","8","8A-LT 103-14:00:00-15:25:008B-LT 103-14:00:00-15:25:00"
"EP 209","Raghunath Chelakkot","49","8","8B-LT 103-14:00:00-15:25:008A-LT 103-14:00:00-15:25:00"
"EP 215","Pradeep Sarin","48","L4","L4--14:00:00-16:55:00"
"EP 219","Vikram Rentala","42","6","6A-LT 104-11:05:00-12:30:006B-LT 104-11:05:00-12:30:00"
"EP 222","Anirban Sain","44","4","4B-LT 106-08:30:00-09:25:004C-LT 106-09:30:00-10:25:004A-LT 106-11:35:00-12:30:00"
"EP 223","Pradeep Sarin","44","",""
"EP 309","Dinesh Kabra","47","11","11A-LT 006-15:30:00-16:55:0011B-LT 006-15:30:00-16:55:00"
"EP 313","Dinesh Kabra","41","L4","L4--14:00:00-16:55:00"
"EP 313","Singh B.P.","41","L4","L4--14:00:00-16:55:00"
"EP 315","Pradeep Sarin","43","L2","L2--14:00:00-16:55:00"
"EP 317","Pradeep Sarin","0","LX","LX--14:00:00-16:55:00"
"EP 322","Kantimay Das Gupta","40","",""
"EP 332","Suresh K.G.","17","5","5B-LT 105-09:30:00-10:55:005A-LT 105-09:30:00-10:55:00"
"EP 409","Major S.S.","15","12","12A-LT 105-17:30:00-18:55:0012B-LT 105-17:30:00-18:55:00"
"EP 411","I11004 - Kantimay S. Das Gupta","","","11A-LC 202-15:30:00-16:55:00"
"EP 411","Kantimay Das Gupta","58","10","10A-LC 202-14:00:00-15:25:0010B-LC 202-14:00:00-15:25:00"
"EP 413","Amitabha Nandi","22","9","9B-LT 303-15:30:00-16:55:009A-LT 303-15:30:00-16:55:00"
"EP 415","Mohamad  Aslam","2","2","2C-LT 305-11:35:00-12:30:002A-LT 305-09:30:00-10:25:002B-LT 305-10:35:00-11:30:00"
"EP 425","Sunita Srivastava","41","8","8A-LT 106-14:00:00-15:25:008B-LT 106-14:00:00-15:25:00"
"EP 431","S. Dhar","15","4","4A-LT 105-11:35:00-12:30:004C-LT 105-09:30:00-10:25:004B-LT 105-08:30:00-09:25:00"
"EP 493","Kantimay Das Gupta","24","",""
"EP 493","Sadhana Dash","24","",""
"EP 501","Singh B.P.","2","9","9A-LT 105-15:30:00-16:55:009B-LT 105-15:30:00-16:55:00"
"EP 503","Mahajan Avinash V.","5","3","3C-GL-G08-08:30:00-09:25:003A-GL-G08-10:35:00-11:30:003B-GL-G08-11:35:00-12:30:00"
"EP 593","Sadhana Dash","0","",""
"EP 593","Kantimay Das Gupta","0","",""
"ES 200","Anurag Garg","200","4","4A-LA 302-11:35:00-12:30:004C-LA 302-09:30:00-10:25:004B-LA 302-08:30:00-09:25:00"
"ES 200","Munish Kumar Chandel","272","1","1A-LA 302-08:30:00-09:25:001B-LA 302-09:30:00-10:25:001C-LA 302-10:35:00-11:30:00"
"ES 200","Amritanshu Shriwastav","272","1","1A-LA 302-08:30:00-09:25:001B-LA 302-09:30:00-10:25:001C-LA 302-10:35:00-11:30:00"
"ES 200","Harish C. Phuleria","272","1","1A-LA 302-08:30:00-09:25:001B-LA 302-09:30:00-10:25:001C-LA 302-10:35:00-11:30:00"
"ES 200","Sanjeev Chaudhari","200","4","4B-LA 302-08:30:00-09:25:004A-LA 302-11:35:00-12:30:004C-LA 302-09:30:00-10:25:00"
"ES 200","Harish C. Phuleria","200","4","4B-LA 302-08:30:00-09:25:004A-LA 302-11:35:00-12:30:004C-LA 302-09:30:00-10:25:00"
"ES 203","Suparna Mukherji","10","5","5A-LT 004-09:30:00-10:55:005B-LT 004-09:30:00-10:55:00"
"ES 205","Suparna Mukherji","8","2","2C-LT 306-11:35:00-12:30:002A-LT 306-09:30:00-10:25:002B-LT 306-10:35:00-11:30:00"
"ES 207","Subhankar Karmakar","8","14","14A-LT 102-17:30:00-18:55:0014B-LT 102-17:30:00-18:55:00"
"ES 221","Amritanshu Shriwastav","8","3","3C-LT 002-08:30:00-09:25:003A-LT 002-10:35:00-11:30:003B-LT 002-11:35:00-12:30:00"
"ES 221","Subhankar Karmakar","8","3","3A-LT 002-10:35:00-11:30:003B-LT 002-11:35:00-12:30:003C-LT 002-08:30:00-09:25:00"
"ES 221- SUBHANKAR KARMAKAR","","","",""
"ES 253","Suparna Mukherji","8","L3","L3--14:00:00-16:55:00"
"ES 303","Anurag Garg","2","5","5B-LT 002-09:30:00-10:55:005A-LT 002-09:30:00-10:55:00"
"ES 305","Virendra Sethi","8","12",""
"ES 351","Virendra Sethi","5","L3","L3--14:00:00-16:55:00"
"ES 401","Munish Kumar Chandel","42","5","5A-LT 306-09:30:00-10:55:005B-LT 306-09:30:00-10:55:00"
"ES 401","Munish Kumar Chandel","5","5","5B-LT 306-09:30:00-10:55:005A-LT 306-09:30:00-10:55:00"
"ES 451","Amritanshu Shriwastav","5","10","8A-LT 002-14:00:00-15:25:0010A-LT 002-14:00:00-15:25:00"
"ES 631","Harish C. Phuleria","23","6","6B-LT 003-11:05:00-12:30:006A-LT 003-11:05:00-12:30:00"
"ES 633","Suparna Mukherji","14","2","2C-LT 306-11:35:00-12:30:002A-LT 306-09:30:00-10:25:002B-LT 306-10:35:00-11:30:00"
"ES 635","Virendra Sethi","14","12",""
"ES 635 /ES 305 - PROF. VIRENDRA SETHI","","","",""
"ES 637","Sanjeev Chaudhari","17","5","5A-LT 006-09:30:00-10:55:005B-LT 006-09:30:00-10:55:00"
"ES 639","S.R.Asolekar","19","7","3C-LT 106-08:30:00-09:25:007A-LT 106-08:30:00-09:25:007B-LT 106-08:30:00-09:25:00"
"ES 645","S.R.Asolekar","24","6","6B-LT 004-11:05:00-12:30:006A-LT 004-11:05:00-12:30:00"
"ES 647","Anurag Garg","17","1","1C-LT 002-10:35:00-11:30:001B-LT 002-09:30:00-10:25:001A-LT 002-08:30:00-09:25:00"
"ES 647","A.K.Dikshit","17","1","1A-LT 002-08:30:00-09:25:001C-LT 002-10:35:00-11:30:001B-LT 002-09:30:00-10:25:00"
"ES 651","Virendra Sethi","12","L1","L1--14:00:00-16:55:00"
"ES 651","Suparna Mukherji","12","L1","L1--14:00:00-16:55:00"
"ES 651","Sanjeev Chaudhari","12","L1","L1--14:00:00-16:55:00"
"ES 653","A.K.Dikshit","3","5","5B-LT 003-09:30:00-10:55:005A-LT 003-09:30:00-10:55:00"
"ES 655","Anurag Garg","15","2","2A-LT 002-09:30:00-10:25:002C-LT 002-11:35:00-12:30:002B-LT 002-10:35:00-11:30:00"
"ES 655","Subhankar Karmakar","15","2","2A-LT 002-09:30:00-10:25:002C-LT 002-11:35:00-12:30:002B-LT 002-10:35:00-11:30:00"
"ES 792","Virendra Sethi","19","14","14A-LT 203-17:30:00-18:55:00"
"ES 792","Harish C. Phuleria","19","14","14A-LT 203-17:30:00-18:55:00"
"ET 801","Sahana Murthy","11","8","8B-MA-G06-14:00:00-15:25:008A-MA-G06-14:00:00-15:25:00"
"ET 806","S. R. Iyer","6","","LX-MA-G06-14:00:00-16:55:00"
"ET 809","Ritayan Mitra","10","6","6A-MA-G06-11:05:00-12:30:006B-MA-G06-11:05:00-12:30:00"
"ET 810","Sasikumar M.","10","L","L2-MA-G06-14:00:00-16:55:00"
"FOR TUTORIAL HELP SESSION FOR THE COURSE PH-107, PROF. AFTAB ALAM","","","",""
"FRENCH CLASSES - DEAN IR","","","",""
"FRENCH CLASSES- DEAN IR","","","",""
"GNR401","Gulab Singh","41","5","5A-LT 104-09:30:00-10:55:005B-LT 104-09:30:00-10:55:00"
"GNR401","Avik Bhattacharya","41","5","5A-LT 104-09:30:00-10:55:005B-LT 104-09:30:00-10:55:00"
"GNR401","Mohan B.Krishna","41","5","5A-LT 104-09:30:00-10:55:005B-LT 104-09:30:00-10:55:00"
"GNR405","Mohan B.Krishna","0","5","5A-CR-G02-09:30:00-10:55:005B-CR-G02-09:30:00-10:55:00"
"GNR407","Nagarajan R.","0","5","5A-CR-G02-09:30:00-10:55:005B-CR-G02-09:30:00-10:55:00"
"GNR409","Gedam S.S.","0","5","5B-CR-G02-09:30:00-10:55:005A-CR-G02-09:30:00-10:55:00"
"GNR409","Adinarayana J.","0","5","5A-CR-G02-09:30:00-10:55:005B-CR-G02-09:30:00-10:55:00"
"GNR411","Inamdar A.B.","0","5","5A-CR-G02-09:30:00-10:55:005B-CR-G02-09:30:00-10:55:00"
"GNR411","Gedam S.S.","0","5","5B-CR-G02-09:30:00-10:55:005A-CR-G02-09:30:00-10:55:00"
"GNR603","Avik Bhattacharya","33","3","3C-CR-G02-08:30:00-09:25:003A-CR-G02-10:35:00-11:30:003B-CR-G02-11:35:00-12:30:00"
"GNR603","Alok Porwal","33","3","3B-CR-G02-11:35:00-12:30:003C-CR-G02-08:30:00-09:25:003A-CR-G02-10:35:00-11:30:00"
"GNR605","Surya Durbha","24","5","5A-CR-G02-09:30:00-10:55:005B-CR-G02-09:30:00-10:55:00"
"GNR607","Mohan B.Krishna","32","2","2A-CR-G02-09:30:00-10:25:002C-CR-G02-11:35:00-12:30:002B-CR-G02-10:35:00-11:30:00"
"GNR615","Surya Durbha","25","",""
"GNR617","Adinarayana J.","25","",""
"GNR619","Adinarayana J.","26","1","1A-CR-G02-08:30:00-09:25:001C-CR-G02-10:35:00-11:30:001B-CR-G02-09:30:00-10:25:00"
"GNR619","Inamdar A.B.","26","1","1C-CR-G02-10:35:00-11:30:001B-CR-G02-09:30:00-10:25:001A-CR-G02-08:30:00-09:25:00"
"GNR621","Nagarajan R.","25","4","4C-CR-G02-09:30:00-10:25:004A-CR-G02-11:35:00-12:30:004B-CR-G02-08:30:00-09:25:00"
"GNR621","Rao Y.S.","25","4","4C-CR-G02-09:30:00-10:25:004A-CR-G02-11:35:00-12:30:004B-CR-G02-08:30:00-09:25:00"
"GNR621","Gulab Singh","25","4","4B-CR-G02-08:30:00-09:25:004C-CR-G02-09:30:00-10:25:004A-CR-G02-11:35:00-12:30:00"
