"Course Code","Course Instructor","Registered Students","Exam slot","Data"
"BB 627","Hari M. Varma","13","6","6B-LT 202-11:05:00-12:30:006A-LT 202-11:05:00-12:30:00"
"BB 633","Neeta Kanekar","15","12","12A-LT 202-17:30:00-18:55:0012B-LT 202-17:30:00-18:55:00"
"BB 653","I15235 - Neeta Kanekar","","","10A-LT 203-14:00:00-15:25:00"
"BB 653","I12047 - Ambarish Kunwar","","","10A-LT 203-14:00:00-15:25:00"
"BB 653","Ambarish Kunwar","31","L4","L4--14:00:00-16:55:00"
"BB 653","I15284 - Hari M. Varma","","","10A-LT 203-14:00:00-15:25:00"
"BB 653","Debjani  Paul","31","L4","L4--14:00:00-16:55:00"
"BB 653","Neeta Kanekar","31","L4","L4--14:00:00-16:55:00"
"BB 653","I12045 - Debjani  Paul","","","10A-LT 203-14:00:00-15:25:00"
"BB 653","Hari M. Varma","31","L4","L4--14:00:00-16:55:00"
"BB 661","Manchanda Rohit","37","9","9B-LC 002-15:30:00-16:55:009A-LC 002-15:30:00-16:55:00"
"BB 663","Debjani  Paul","33","2","2B-LT 205-10:35:00-11:30:002C-LT 205-11:35:00-12:30:002A-LT 205-09:30:00-10:25:00"
"BB 665","Banerjee Rinti","25","11","7A-LT 202-08:30:00-09:25:0011A-LT 202-15:30:00-16:55:00"
"BB 665","Vivek P. Soni","25","11","11A-LT 202-15:30:00-16:55:007A-LT 202-08:30:00-09:25:00"
"BB 669","R. Srivastava","14","2","2B-LT 205-10:35:00-11:30:002A-LT 205-09:30:00-10:25:002C-LT 205-11:35:00-12:30:00"
"BB 673","Mukherji Soumyo","20","9","9B-LT 202-15:30:00-16:55:009A-LT 202-15:30:00-16:55:00"
"BB 679","Prakriti Tayalia","12","6","6B-LT 202-11:05:00-12:30:006A-LT 202-11:05:00-12:30:00"
"BB 792","Ashutosh Kumar","75","4","4C-LC 101-09:30:00-10:25:00"
"BB 792","Ambarish Kunwar","75","4","4C-LC 101-09:30:00-10:25:00"
"CE 221","Arghadeep Laskar","63","1","1A-LC 302-08:30:00-09:25:001C-LC 302-10:35:00-11:30:001B-LC 302-09:30:00-10:25:00"
"CE 221","I05071 - Naresh K. Chandiramani","","","8A-CE-208-14:00:00-15:25:009A-CE-208-15:30:00-16:55:00"
"CE 221","N.K.Chandiramani","56","1","1C-CE-208-10:35:00-11:30:001B-CE-208-09:30:00-10:25:001A-CE-208-08:30:00-09:25:00"
"CE 221","I14100 - Arghadeep Laskar","","","X2-LC 302-15:00:00-16:00:00X3-LC 302-16:00:00-17:00:00"
"CE 223","Manasa R. Behera","63","3","3A-LC 201-10:35:00-11:30:003C-LC 201-08:30:00-09:25:003B-LC 201-11:35:00-12:30:00"
"CE 223","B. S. Pani","57","3","3B-CE-208-11:35:00-12:30:003A-CE-208-10:35:00-11:30:003C-CE-208-08:30:00-09:25:00"
"CE 231","Manish Kumar","53","L","L2-CEAG12-14:00:00-16:55:00"
"CE 231","Manish Kumar","56","L","L4-CEAG12-14:00:00-16:55:00"
"CE 233","Arpita Mondal","54","L",""
"CE 233","T I Eldho","56","L",""
"CE 310","Gopal R. Patil","54","2","2C-LC 201-11:35:00-12:30:002B-LC 201-10:35:00-11:30:002A-LC 201-09:30:00-10:25:00"
"CE 310","Dharamveer Singh","64","2","2C-CE-218-11:35:00-12:30:002A-CE-218-09:30:00-10:25:002B-CE-218-10:35:00-11:30:00"
"CE 317","I94036 - R. S. Jangid","","","X1-SMA210-14:00:00-15:00:00X2-SMA210-15:00:00-16:00:00X3-SMA210-16:00:00-17:00:00"
"CE 317","041062 - Pradipta  Banerji","","","X1-LH 102-14:00:00-15:00:00X2-LH 102-15:00:00-16:00:00X3-LH 102-16:00:00-17:00:00"
"CE 317","Banerji P.","58","1","1B-LH 101-09:30:00-10:25:001C-LH 101-10:35:00-11:30:001A-LH 101-08:30:00-09:25:00"
"CE 317","Jangid R.S.","68","1","1B-SMA210-09:30:00-10:25:001A-SMA210-08:30:00-09:25:001C-SMA210-10:35:00-11:30:00"
"CE 323","Santiram Chatterjee","68","4","4B-CE-206-08:30:00-09:25:004C-CE-206-09:30:00-10:25:004A-CE-206-11:35:00-12:30:00"
"CE 323","Prasenjit Basu","57","4","4C-CE-208-09:30:00-10:25:004A-CE-208-11:35:00-12:30:004B-CE-208-08:30:00-09:25:00"
"CE 324","Milind S. Wankhede","18","14","14B-CE-218-17:30:00-18:55:0014A-CE-218-17:30:00-18:55:00"
"CE 324","Sinha Ravi","18","14","14A-CE-218-17:30:00-18:55:0014B-CE-218-17:30:00-18:55:00"
"CE 325","Jayadipta Ghosh","66","6","6A-SMA206-11:05:00-12:30:006B-SMA206-11:05:00-12:30:00"
"CE 325","I14278 - Jayadipta Ghosh","","","10A-SMA206-14:00:00-15:25:0011A-SMA206-15:30:00-16:55:00"
"CE 325","I14003 - Amit Kumar Das","","","11A-LC 101-15:30:00-16:55:0010A-LC 101-14:00:00-15:25:00"
"CE 325","Amit Kumar Das","62","6","6B-LC 101-11:05:00-12:30:006A-LC 101-11:05:00-12:30:00"
"CE 328","Avijit Maji","63","L",""
"CE 328","Nagendra Rao Velaga","53","L",""
"CE 329","Mandal J.N.","63","L","L1-CEAG08-14:00:00-16:55:00"
"CE 329","Mandal J.N.","53","L","L3-CEAG08-14:00:00-16:55:00"
"CE 401","M.J.Reddy","62","2","2B-CE-233-10:35:00-11:30:002A-CE-233-09:30:00-10:25:002C-CE-233-11:35:00-12:30:00"
"CE 401","Jothiprakash V.","59","2","2B-CE-228-10:35:00-11:30:002A-CE-228-09:30:00-10:25:002C-CE-228-11:35:00-12:30:00"
"CE 403","Goyal Alok","38","6","6A-CE-218-11:05:00-12:30:006B-CE-218-11:05:00-12:30:00"
